id_chamado,data_abertura,data_fechamento,categoria,prioridade,status,setor_solicitante,tecnico_responsavel,equipe,tempo_resolucao_horas,sla_meta_horas,dentro_sla
INC-02379,2024-01-03 10:35,2024-01-03 12:35,Rede/Internet,Crítica,Resolvido,RH,Carlos Lima,N1,2.0,4,Sim
INC-01795,2024-01-04 17:35,2024-01-04 20:29,Software,Média,Resolvido,Logística,Bruno Reis,N2,2.9,24,Sim
INC-00335,2024-01-08 07:37,2024-01-08 17:37,Acesso/Senha,Baixa,Resolvido,Logística,Fernanda Cruz,N3,10.0,48,Sim
INC-01703,2024-01-08 09:45,2024-01-08 11:27,Acesso/Senha,Média,Resolvido,Logística,Fernanda Cruz,N3,1.7,24,Sim
INC-02461,2024-01-09 07:48,2024-01-09 16:18,Acesso/Senha,Baixa,Resolvido,Operações,Diego Alves,N2,8.5,48,Sim
INC-01103,2024-01-09 11:37,2024-01-11 12:49,Software,Baixa,Resolvido,Logística,Bruno Reis,N2,49.2,48,Não
INC-01210,2024-01-09 11:50,2024-01-09 14:02,Acesso/Senha,Baixa,Resolvido,TI,Bruno Reis,N2,2.2,48,Sim
INC-02060,2024-01-09 13:05,2024-01-10 05:29,Sistema Interno,Média,Resolvido,Financeiro,Bruno Reis,N2,16.4,24,Sim
INC-02486,2024-01-10 07:44,2024-01-10 09:14,Software,Média,Resolvido,Comercial,Carlos Lima,N1,1.5,24,Sim
INC-02361,2024-01-10 09:42,2024-01-10 09:54,Hardware,Alta,Resolvido,RH,Carlos Lima,N1,0.2,8,Sim
INC-02363,2024-01-10 13:32,2024-01-12 10:26,Hardware,Baixa,Resolvido,Logística,Carlos Lima,N1,44.9,48,Sim
INC-00029,2024-01-11 11:53,2024-01-11 12:23,Software,Crítica,Resolvido,Financeiro,Diego Alves,N2,0.5,4,Sim
INC-00962,2024-01-12 08:23,2024-01-13 11:11,Sistema Interno,Baixa,Resolvido,Financeiro,Ana Souza,N1,26.8,48,Sim
INC-01620,2024-01-12 09:11,2024-01-12 13:05,Acesso/Senha,Média,Resolvido,RH,Ana Souza,N1,3.9,24,Sim
INC-01141,2024-01-15 07:40,2024-01-15 08:46,Email,Baixa,Resolvido,Diretoria,Diego Alves,N2,1.1,48,Sim
INC-00018,2024-01-15 10:08,2024-01-15 12:02,Software,Média,Resolvido,TI,Bruno Reis,N2,1.9,24,Sim
INC-02186,2024-01-15 12:34,2024-01-15 14:46,Acesso/Senha,Alta,Resolvido,TI,Bruno Reis,N2,2.2,8,Sim
INC-02289,2024-01-15 15:07,2024-01-15 16:19,Software,Crítica,Resolvido,TI,Fernanda Cruz,N3,1.2,4,Sim
INC-01561,2024-01-15 17:26,2024-01-15 18:56,Rede/Internet,Baixa,Resolvido,Financeiro,Ana Souza,N1,1.5,48,Sim
INC-01617,2024-01-16 09:29,2024-01-16 15:53,Software,Média,Resolvido,Logística,Fernanda Cruz,N3,6.4,24,Sim
INC-02294,2024-01-16 13:22,2024-01-16 14:40,Acesso/Senha,Baixa,Resolvido,RH,Ana Souza,N1,1.3,48,Sim
INC-01546,2024-01-16 17:14,2024-01-16 17:44,Sistema Interno,Baixa,Resolvido,TI,Carlos Lima,N1,0.5,48,Sim
